Alpha;Accuracy;Recall;Precision;F1 Score
0.0;0.6082670699959636;0.6258629845990441;0.6135312002069575;0.6082670699959636
0.1;0.6564514103512165;0.6845459373340415;0.6643490758666187;0.6564514103512165
0.2;0.6424801988698626;0.6712692511949018;0.6500674282647292;0.6424801988698626
0.3;0.6322286533900912;0.659984067976633;0.6384589014405495;0.6322286533900912
0.4;0.6224003244486147;0.6492299522039299;0.6275078719757576;0.6224003244486147
0.5;0.615341523969213;0.6408656399362719;0.619057967954107;0.615341523969213
0.6;0.6077336150211087;0.6321030270844398;0.6102471454680121;0.6077336150211087
0.7;0.6011202695961478;0.6249336165693044;0.6030411434615044;0.6011202695961478
0.8;0.5949781098397915;0.6176314391927775;0.5956973576358106;0.5949781098397915
0.9;0.5903353952650096;0.6117896972915561;0.5898722680529005;0.5903353952650096
1.0;0.5854345727938506;0.6062134891131173;0.5842852916590432;0.5854345727938506
